address,group,roi,total_spent,total_sold,leftover_value,trade_count,yes_shares_bought,yes_shares_sold,yes_spent,yes_sold,yes_leftover_value,no_shares_bought,no_shares_sold,no_spent,no_sold,no_leftover_value
0x23f5d0149c49bad1a3b6f09919204cd46c5f5ba9,B,-0.058220755554795695,1.9299990000000005,1.81356,0.0040730000000003,2,3.5740730000000003,3.57,1.9299990000000005,1.81356,0.0040730000000003,0.0,0.0,0.0,0.0,0.0
0x2460ff1ab8717cb10d48930e94ebd2c8cbd4468f,A,-1.0,0.099995,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.120476,0.0,0.099995,0.0,0.0
0x24692898ce8f5bbe617e397f79367c53741241a1,A,0.08304541522707613,0.999995,1.08304,0.0,2,0.0,0.0,0.0,0.0,0.0,1.12359,1.12,0.999995,1.08304,0.0
0x24a4a03d08aa755875eb03281b4518c00109ca75,B,-1.0,8.94,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1062.777777,0.0,8.94,0.0,0.0
0x250a8012d8f61e98d10b02f6b62ecfee20cb6d1d,A,0.005477979444934488,9929.92408,0.0,9984.32,22,9984.32,0.0,9929.92408,0.0,9984.32,0.0,0.0,0.0,0.0,0.0
0x261c82bfd2e001c01436492a9700d34bf6507cd3,B,-0.001001001001001001,201.61818,201.41636,0.0,6,201.82,201.82,201.61818,201.41636,0.0,0.0,0.0,0.0,0.0,0.0
0x2655692807949eff2b8c83af9dbc6c83e3118685,B,0.0021020867358566694,60.485135,60.61228,0.0,83,0.0,0.0,0.0,0.0,0.0,6805.804856,6605.26,60.485135,60.61228,0.0
0x266fed0477a60a8af028552e4031f2ba2c9cb55a,A,-0.0010718113612004287,6.531,6.524,0.0,2,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.531,6.524,0.0
0x273cede8bb05515f382d9377bfa27b47014dbec5,B,1.12314225,20.0,0.0,42.462845,1,42.462845,0.0,20.0,0.0,42.462845,0.0,0.0,0.0,0.0,0.0
0x290204115de424c205ab70a98e5731112e50f315,B,-0.001004016064257028,41.02524,40.98405,0.0,2,41.19,41.19,41.02524,40.98405,0.0,0.0,0.0,0.0,0.0,0.0
